groesse_cm,gewicht_kg,schuhgroesse,geschlecht,geschlecht_label
163,71.9,38,1,weiblich
164,59.4,38,1,weiblich
162,70.1,38,1,weiblich
168,60.1,37,1,weiblich
183,83.3,42,0,männlich
183,88.0,45,0,männlich
167,65.7,38,1,weiblich
172,75.1,39,0,männlich
182,82.4,43,0,männlich
167,70.8,40,1,weiblich
156,61.2,34,1,weiblich
163,63.5,40,1,weiblich
172,68.3,38,1,weiblich
184,93.8,45,0,männlich
167,63.0,38,1,weiblich
179,78.7,41,1,weiblich
169,80.2,38,1,weiblich
170,72.1,38,1,weiblich
172,94.2,43,0,männlich
174,82.2,42,0,männlich
180,83.9,40,1,weiblich
189,95.9,45,0,männlich
182,86.5,44,0,männlich
183,90.7,44,0,männlich
164,58.7,38,1,weiblich
159,55.9,36,1,weiblich
175,74.9,42,0,männlich
174,82.7,41,0,männlich
175,62.5,41,1,weiblich
175,68.7,41,1,weiblich
169,74.8,42,0,männlich
175,84.4,42,0,männlich
181,78.4,43,0,männlich
159,66.4,36,1,weiblich
161,56.0,36,1,weiblich
170,64.8,39,1,weiblich
172,84.0,41,0,männlich
166,57.4,39,1,weiblich
168,76.7,39,1,weiblich
190,101.3,46,0,männlich
164,65.7,36,1,weiblich
175,98.2,44,0,männlich
161,56.2,36,1,weiblich
175,87.1,42,0,männlich
158,57.8,37,1,weiblich
180,74.8,41,1,weiblich
169,62.2,35,1,weiblich
179,89.5,44,0,männlich
149,66.9,36,1,weiblich
171,76.8,40,1,weiblich
182,91.4,46,0,männlich
168,71.7,37,1,weiblich
188,95.2,44,0,männlich
178,80.1,43,0,männlich
179,91.5,43,0,männlich
187,91.1,46,0,männlich
160,56.6,38,1,weiblich
150,53.3,35,1,weiblich
197,94.9,44,0,männlich
183,92.8,44,0,männlich
184,87.9,44,0,männlich
185,91.8,47,0,männlich
170,59.6,37,1,weiblich
177,81.3,43,0,männlich
161,58.5,37,1,weiblich
178,86.2,43,0,männlich
185,96.5,42,0,männlich
168,75.6,40,0,männlich
172,101.8,42,0,männlich
165,71.7,38,1,weiblich
163,67.0,37,1,weiblich
172,82.0,41,0,männlich
171,72.8,41,0,männlich
179,88.3,44,0,männlich
190,98.0,45,0,männlich
156,60.8,37,1,weiblich
172,65.0,38,1,weiblich
193,85.4,44,0,männlich
161,56.6,38,1,weiblich
169,60.6,38,1,weiblich
182,97.3,45,0,männlich
178,77.5,41,0,männlich
169,72.6,39,1,weiblich
174,67.5,38,0,männlich
180,75.0,41,1,weiblich
167,68.9,39,1,weiblich
167,79.3,40,1,weiblich
150,52.2,37,1,weiblich
152,52.5,36,1,weiblich
160,53.5,36,1,weiblich
162,60.9,37,1,weiblich
172,67.9,40,1,weiblich
166,62.9,38,1,weiblich
163,62.3,38,1,weiblich
188,93.9,44,0,männlich
177,103.7,44,0,männlich
168,75.2,39,1,weiblich
159,61.9,36,1,weiblich
176,88.4,41,1,weiblich
170,81.3,40,1,weiblich
188,95.5,45,0,männlich
190,86.6,47,0,männlich
174,76.9,40,0,männlich
171,80.4,42,0,männlich
161,62.5,36,1,weiblich
175,92.5,43,0,männlich
165,66.6,38,1,weiblich
160,67.4,37,1,weiblich
178,91.5,45,0,männlich
167,75.7,39,1,weiblich
160,62.7,35,1,weiblich
181,93.9,43,0,männlich
159,75.9,36,1,weiblich
172,74.4,39,1,weiblich
163,59.9,36,1,weiblich
172,82.2,42,0,männlich
181,76.3,42,0,männlich
173,72.3,40,0,männlich
176,73.1,43,0,männlich
173,85.1,38,0,männlich
162,57.9,37,1,weiblich
154,65.2,37,1,weiblich
178,93.8,45,0,männlich
161,59.7,37,1,weiblich
160,66.9,37,1,weiblich
184,86.9,42,0,männlich
182,92.9,44,0,männlich
166,64.1,37,1,weiblich
190,90.5,47,0,männlich
183,78.2,44,0,männlich
186,96.6,45,0,männlich
187,95.4,47,0,männlich
173,71.1,41,0,männlich
157,63.7,36,1,weiblich
164,60.6,38,1,weiblich
174,66.0,39,1,weiblich
169,65.1,37,1,weiblich
175,73.6,42,0,männlich
171,81.5,42,0,männlich
172,90.7,42,0,männlich
162,76.0,40,1,weiblich
166,75.6,40,1,weiblich
172,71.0,38,1,weiblich
160,60.0,37,1,weiblich
170,65.1,40,0,männlich
189,90.1,47,0,männlich
158,58.8,37,1,weiblich
185,100.4,44,0,männlich
165,69.7,37,1,weiblich
180,85.6,43,0,männlich
159,63.0,36,1,weiblich
183,86.9,42,0,männlich
164,76.5,37,1,weiblich
172,78.2,39,1,weiblich
185,81.4,44,0,männlich
183,82.5,42,0,männlich
167,72.8,40,0,männlich
172,79.4,41,0,männlich
179,74.1,43,0,männlich
171,75.8,41,0,männlich
181,96.7,44,0,männlich
170,82.6,40,0,männlich
194,108.4,46,0,männlich
153,40.0,35,1,weiblich
195,112.2,46,0,männlich
175,83.1,41,0,männlich
170,69.8,38,1,weiblich
173,84.2,39,1,weiblich
177,65.6,41,0,männlich
181,76.0,39,0,männlich
185,91.0,46,0,männlich
156,66.1,38,1,weiblich
181,88.7,43,0,männlich
185,96.6,44,0,männlich
174,92.9,42,0,männlich
170,72.6,38,1,weiblich
181,79.1,40,1,weiblich
154,62.8,36,1,weiblich
176,69.6,40,1,weiblich
162,63.1,37,1,weiblich
190,93.4,47,0,männlich
165,67.9,39,1,weiblich
172,71.1,40,0,männlich
164,76.5,40,1,weiblich
181,93.5,44,0,männlich
181,93.2,42,0,männlich
176,83.9,42,0,männlich
160,65.8,37,1,weiblich
191,85.7,44,0,männlich
191,90.4,42,0,männlich
163,67.4,41,0,männlich
175,61.6,40,1,weiblich
179,104.7,42,0,männlich
177,86.4,44,0,männlich
166,59.8,36,1,weiblich
175,90.3,43,0,männlich
182,88.7,46,0,männlich
164,74.6,39,0,männlich
170,69.5,39,1,weiblich
183,80.6,43,0,männlich
193,97.5,45,0,männlich
177,77.4,42,0,männlich
182,80.9,42,0,männlich
171,67.3,39,1,weiblich
177,65.1,42,0,männlich
183,99.1,44,0,männlich
161,53.7,38,1,weiblich
184,99.8,45,0,männlich
162,57.4,38,1,weiblich
161,72.5,37,1,weiblich
172,84.7,42,0,männlich
162,63.3,37,1,weiblich
168,64.0,39,1,weiblich
166,65.5,37,1,weiblich
164,49.4,37,1,weiblich
160,65.9,37,1,weiblich
182,88.0,44,0,männlich
157,64.4,36,1,weiblich
158,55.6,34,1,weiblich
165,67.3,38,1,weiblich
186,99.0,42,0,männlich
174,82.9,42,0,männlich
177,103.7,42,0,männlich
166,70.4,37,1,weiblich
162,66.0,38,1,weiblich
161,68.4,36,1,weiblich
170,74.9,38,1,weiblich
154,51.4,35,1,weiblich
176,79.4,39,0,männlich
162,62.5,38,1,weiblich
149,56.6,37,1,weiblich
173,80.4,42,0,männlich
183,92.5,44,0,männlich
184,79.7,41,0,männlich
167,69.5,38,1,weiblich
176,73.5,40,0,männlich
184,81.9,43,0,männlich
171,70.1,39,1,weiblich
175,82.5,42,0,männlich
164,68.3,40,0,männlich
192,94.0,44,0,männlich
154,58.1,36,1,weiblich
169,66.6,40,1,weiblich
168,74.8,39,1,weiblich
184,93.3,43,0,männlich
169,69.4,39,1,weiblich
174,60.4,39,0,männlich
158,61.5,37,1,weiblich
163,56.1,37,1,weiblich
165,64.7,38,1,weiblich
178,97.3,43,0,männlich
161,58.1,37,1,weiblich
159,54.2,35,1,weiblich
159,73.9,38,1,weiblich
179,90.7,45,0,männlich
184,78.0,43,0,männlich
162,65.6,37,1,weiblich
188,98.7,44,0,männlich
182,77.1,44,0,männlich
181,84.9,42,0,männlich
163,55.4,36,1,weiblich
165,65.6,38,1,weiblich
181,81.6,44,0,männlich
183,90.5,46,0,männlich
179,79.2,43,0,männlich
173,82.4,42,0,männlich
167,70.2,37,1,weiblich
169,71.9,40,1,weiblich
165,59.7,37,1,weiblich
175,73.3,41,0,männlich
165,64.0,39,1,weiblich
171,79.6,41,0,männlich
176,87.2,44,0,männlich
171,69.4,38,1,weiblich
168,66.6,38,1,weiblich
169,77.1,39,1,weiblich
169,69.6,39,1,weiblich
191,101.9,47,0,männlich
163,54.7,36,1,weiblich
169,47.4,39,1,weiblich
180,92.0,45,0,männlich
161,49.7,37,1,weiblich
171,75.6,43,0,männlich
172,72.1,40,1,weiblich
168,84.0,41,0,männlich
159,69.9,37,1,weiblich
176,78.1,42,0,männlich
168,67.8,40,1,weiblich
164,60.9,38,1,weiblich
163,63.1,39,1,weiblich
177,60.4,42,0,männlich
158,53.3,37,1,weiblich
165,72.4,39,1,weiblich
165,68.8,38,1,weiblich
164,61.1,38,1,weiblich
168,71.9,38,1,weiblich
184,101.8,45,0,männlich
152,51.5,36,1,weiblich
164,70.8,39,1,weiblich
181,83.0,45,0,männlich
158,44.8,35,1,weiblich
175,69.9,40,1,weiblich
175,74.4,41,0,männlich
163,54.7,36,1,weiblich
157,53.3,36,1,weiblich
164,57.3,35,1,weiblich
169,68.2,39,1,weiblich
165,59.0,37,1,weiblich
161,66.5,36,1,weiblich
158,53.5,38,1,weiblich
157,70.6,38,1,weiblich
192,97.1,44,0,männlich
179,80.8,43,0,männlich
168,76.1,38,1,weiblich
189,92.6,43,0,männlich
168,59.7,37,1,weiblich
186,101.0,46,0,männlich
182,73.9,41,0,männlich
165,73.6,37,1,weiblich
178,84.7,40,0,männlich
183,86.0,43,0,männlich
170,57.7,39,1,weiblich
161,61.8,39,1,weiblich
165,66.6,39,1,weiblich
187,90.6,45,0,männlich
176,111.2,45,0,männlich
182,79.7,44,0,männlich
168,52.9,37,1,weiblich
166,70.3,39,1,weiblich
183,72.2,42,0,männlich
170,70.0,39,1,weiblich
179,67.7,41,0,männlich
179,91.5,43,0,männlich
159,58.0,37,1,weiblich
161,71.8,38,1,weiblich
179,84.3,44,0,männlich
180,83.6,45,0,männlich
167,69.6,40,0,männlich
160,59.9,35,1,weiblich
160,65.5,35,1,weiblich
165,78.2,39,1,weiblich
169,71.1,38,1,weiblich
165,59.2,36,1,weiblich
180,73.7,40,0,männlich
173,71.6,42,0,männlich
182,82.3,45,0,männlich
174,76.3,41,0,männlich
164,68.9,37,1,weiblich
168,68.5,38,1,weiblich
174,81.9,42,0,männlich
183,82.7,42,0,männlich
187,104.8,42,0,männlich
167,80.2,39,1,weiblich
171,76.5,39,1,weiblich
181,91.6,44,0,männlich
183,73.1,41,1,weiblich
182,79.4,45,0,männlich
154,64.6,36,1,weiblich
178,72.1,39,1,weiblich
164,68.8,38,1,weiblich
187,91.4,45,0,männlich
178,97.8,42,0,männlich
185,91.6,45,0,männlich
191,94.2,45,0,männlich
150,54.6,36,1,weiblich
165,68.2,39,1,weiblich
167,64.9,38,1,weiblich
175,87.8,42,0,männlich
177,82.9,41,1,weiblich
162,62.9,37,1,weiblich
178,83.5,45,0,männlich
149,47.5,36,1,weiblich
177,82.2,43,0,männlich
165,73.4,38,1,weiblich
166,59.1,38,1,weiblich
176,82.6,40,0,männlich
174,68.8,41,0,männlich
162,65.1,38,1,weiblich
159,59.5,37,1,weiblich
181,91.9,42,0,männlich
183,83.6,42,0,männlich
178,70.9,43,0,männlich
165,68.5,38,1,weiblich
162,78.1,39,0,männlich
177,66.2,40,0,männlich
156,65.4,36,1,weiblich
163,70.9,40,1,weiblich
161,48.3,38,1,weiblich
185,80.2,44,0,männlich
177,78.2,41,0,männlich
175,87.1,42,0,männlich
159,54.8,35,1,weiblich
190,90.1,46,0,männlich
162,61.0,37,1,weiblich
161,69.3,37,1,weiblich
169,73.2,41,1,weiblich
171,79.3,41,0,männlich
177,93.9,45,0,männlich
181,97.8,46,0,männlich
161,58.6,36,1,weiblich
176,75.5,43,0,männlich
170,76.1,41,0,männlich
165,55.4,37,1,weiblich
170,78.5,38,1,weiblich
174,53.3,37,1,weiblich
175,84.7,42,0,männlich
162,63.7,38,1,weiblich
185,99.1,43,0,männlich
166,60.1,37,1,weiblich
160,65.9,35,1,weiblich
181,94.1,44,0,männlich
187,89.2,46,0,männlich
177,88.9,43,0,männlich
161,77.2,38,1,weiblich
174,77.0,42,0,männlich
165,69.3,38,1,weiblich
167,62.4,37,1,weiblich
171,80.8,42,0,männlich
185,88.9,43,0,männlich
171,58.7,39,1,weiblich
183,92.5,46,0,männlich
178,92.7,43,0,männlich
161,53.5,37,1,weiblich
184,94.1,43,0,männlich
163,76.4,39,1,weiblich
169,69.2,39,1,weiblich
163,60.8,36,1,weiblich
176,69.9,41,1,weiblich
187,82.7,44,0,männlich
177,93.0,43,0,männlich
165,62.8,38,1,weiblich
157,69.5,36,1,weiblich
176,74.0,42,0,männlich
184,83.3,43,0,männlich
155,60.7,35,1,weiblich
164,68.4,38,1,weiblich
182,74.6,41,0,männlich
159,44.1,35,1,weiblich
158,63.3,37,1,weiblich
159,67.9,37,1,weiblich
164,73.8,41,1,weiblich
155,46.3,36,1,weiblich
181,73.1,45,0,männlich
176,59.1,40,1,weiblich
179,83.6,42,0,männlich
172,66.3,39,1,weiblich
179,72.0,42,0,männlich
181,92.4,44,0,männlich
183,89.6,43,0,männlich
156,53.6,33,1,weiblich
171,77.4,41,1,weiblich
170,86.7,41,0,männlich
164,53.2,36,1,weiblich
165,55.3,38,1,weiblich
161,51.1,38,1,weiblich
180,92.6,43,0,männlich
181,86.3,43,0,männlich
152,45.3,37,1,weiblich
174,84.1,41,0,männlich
168,65.8,40,1,weiblich
176,83.4,41,1,weiblich
185,81.2,43,0,männlich
158,50.6,35,1,weiblich
193,96.2,46,0,männlich
156,48.9,36,1,weiblich
165,66.9,39,1,weiblich
178,91.6,42,0,männlich
165,73.0,41,1,weiblich
177,74.2,42,0,männlich
179,87.7,43,0,männlich
183,91.4,43,0,männlich
176,78.4,39,1,weiblich
182,91.7,46,0,männlich
157,63.7,36,1,weiblich
176,73.5,40,0,männlich
171,68.2,40,1,weiblich
167,75.9,37,1,weiblich
178,80.7,44,0,männlich
171,88.0,41,0,männlich
179,93.3,41,0,männlich
163,56.8,36,1,weiblich
163,74.6,39,1,weiblich
186,88.3,42,0,männlich
176,80.4,42,0,männlich
180,95.2,45,0,männlich
174,68.0,40,1,weiblich
181,102.2,42,0,männlich
165,61.5,40,1,weiblich
183,75.2,45,0,männlich
178,89.0,43,0,männlich
169,54.7,38,1,weiblich
159,56.3,37,1,weiblich
164,65.0,39,1,weiblich
189,107.0,45,0,männlich
174,54.8,38,1,weiblich
176,80.4,42,0,männlich
173,77.0,39,1,weiblich
162,60.6,36,1,weiblich
178,76.4,44,0,männlich
177,91.0,42,0,männlich
173,63.5,40,1,weiblich
182,82.9,45,0,männlich
193,85.8,46,0,männlich
177,89.2,44,0,männlich
168,59.2,37,1,weiblich
179,97.0,42,0,männlich
178,94.6,44,0,männlich
177,88.2,44,0,männlich
183,73.6,43,0,männlich
178,95.5,42,0,männlich
174,85.7,41,0,männlich
178,77.8,42,0,männlich
160,56.5,36,1,weiblich
167,68.0,40,1,weiblich
184,96.9,47,0,männlich
172,78.9,41,0,männlich
164,70.1,38,1,weiblich
167,76.9,37,1,weiblich
170,60.6,40,1,weiblich
182,85.3,42,0,männlich
168,63.2,40,1,weiblich
171,89.6,41,1,weiblich
180,100.3,44,0,männlich
187,76.5,46,0,männlich
169,62.0,38,1,weiblich
161,60.5,38,1,weiblich
162,68.8,40,1,weiblich
163,72.6,39,1,weiblich
179,89.4,43,0,männlich
181,91.5,42,0,männlich
186,87.5,43,0,männlich
161,54.9,36,1,weiblich
170,81.0,39,1,weiblich
167,65.2,37,1,weiblich
189,97.7,47,0,männlich
165,70.4,38,1,weiblich
179,61.5,41,1,weiblich
169,61.4,40,0,männlich
162,57.2,35,1,weiblich
170,84.1,40,0,männlich
167,75.8,40,1,weiblich
170,78.9,38,0,männlich
166,61.4,38,1,weiblich
181,77.8,44,0,männlich
175,87.5,41,0,männlich
150,68.0,37,1,weiblich
180,82.2,43,0,männlich
161,60.7,38,1,weiblich
165,53.9,37,1,weiblich
172,69.4,38,1,weiblich
179,70.6,40,1,weiblich
188,103.9,44,0,männlich
171,70.6,37,1,weiblich
157,53.4,35,1,weiblich
190,98.6,46,0,männlich
161,70.6,37,1,weiblich
174,69.5,41,1,weiblich
170,69.9,41,1,weiblich
160,67.5,37,1,weiblich
178,79.5,43,0,männlich
177,86.7,42,0,männlich
182,92.1,45,0,männlich
177,83.5,42,0,männlich
180,77.4,42,0,männlich
168,74.6,38,0,männlich
191,99.0,45,0,männlich
183,79.0,43,0,männlich
184,94.2,44,0,männlich
159,40.0,35,1,weiblich
183,87.6,43,1,weiblich
181,78.1,42,0,männlich
171,69.6,41,0,männlich
167,70.3,40,1,weiblich
155,52.5,37,1,weiblich
163,64.4,39,1,weiblich
163,57.6,37,1,weiblich
169,62.2,39,1,weiblich
176,82.3,40,0,männlich
187,101.0,45,0,männlich
159,68.9,37,1,weiblich
180,83.1,43,0,männlich
171,72.9,40,1,weiblich
190,93.6,46,0,männlich
177,78.4,39,1,weiblich
179,89.3,44,0,männlich
176,74.2,41,0,männlich
177,95.5,43,0,männlich
186,86.7,44,0,männlich
181,102.9,44,0,männlich
174,83.6,43,0,männlich
170,77.8,40,1,weiblich
164,68.5,38,1,weiblich
177,95.3,42,0,männlich
157,71.2,38,1,weiblich
179,83.0,43,0,männlich
187,96.4,45,0,männlich
180,96.4,41,0,männlich
186,89.0,44,0,männlich
183,77.0,42,0,männlich
177,98.1,44,0,männlich
186,89.5,44,0,männlich
161,64.3,36,1,weiblich
188,96.7,43,0,männlich
160,67.3,39,1,weiblich
188,104.5,47,0,männlich
176,78.2,43,0,männlich
168,69.3,38,1,weiblich
174,68.9,39,0,männlich
171,73.0,38,1,weiblich
181,82.3,44,0,männlich
190,86.1,46,0,männlich
178,89.6,43,0,männlich
185,77.5,44,0,männlich
163,64.8,37,1,weiblich
182,92.3,45,0,männlich
177,91.9,41,0,männlich
159,70.5,38,1,weiblich
184,87.6,45,0,männlich
159,48.5,36,1,weiblich
156,63.8,35,1,weiblich
187,96.2,43,0,männlich
180,77.3,44,0,männlich
175,68.9,41,0,männlich
181,94.3,42,0,männlich
168,72.2,38,1,weiblich
173,83.2,39,1,weiblich
181,69.0,44,0,männlich
189,94.9,48,0,männlich
159,60.1,34,1,weiblich
185,58.7,44,0,männlich
173,75.8,41,1,weiblich
169,61.4,39,1,weiblich
187,84.1,44,0,männlich
168,80.8,39,1,weiblich
180,95.8,43,0,männlich
181,85.7,44,0,männlich
175,76.6,41,0,männlich
181,85.0,43,0,männlich
181,75.4,43,0,männlich
161,69.5,37,1,weiblich
176,76.8,42,0,männlich
165,60.1,37,1,weiblich
163,59.8,37,1,weiblich
177,77.7,40,1,weiblich
157,60.2,37,1,weiblich
164,59.4,38,1,weiblich
193,100.3,45,0,männlich
174,97.6,43,0,männlich
179,84.7,44,0,männlich
177,83.1,43,0,männlich
162,55.2,37,1,weiblich
162,74.1,38,1,weiblich
153,48.3,35,1,weiblich
179,76.5,43,0,männlich
155,59.1,37,1,weiblich
184,97.7,45,0,männlich
156,62.4,35,1,weiblich
189,99.4,46,0,männlich
174,86.9,39,1,weiblich
183,107.9,47,0,männlich
168,80.7,37,1,weiblich
178,67.0,40,1,weiblich
168,64.1,42,0,männlich
172,75.8,40,1,weiblich
166,69.7,38,1,weiblich
156,48.0,35,1,weiblich
175,95.1,41,0,männlich
193,96.9,46,0,männlich
168,64.2,39,1,weiblich
189,97.6,44,0,männlich
154,55.3,36,1,weiblich
164,70.8,39,1,weiblich
174,85.7,40,1,weiblich
175,74.9,40,1,weiblich
188,96.7,43,0,männlich
164,53.0,38,1,weiblich
187,83.0,44,0,männlich
166,64.0,38,1,weiblich
175,72.8,40,0,männlich
167,64.8,40,1,weiblich
155,56.8,35,1,weiblich
162,56.7,37,1,weiblich
168,74.4,37,1,weiblich
158,63.7,37,1,weiblich
182,101.2,44,0,männlich
189,91.3,46,0,männlich
174,72.5,42,0,männlich
187,98.7,46,0,männlich
174,97.5,43,0,männlich
178,87.4,41,1,weiblich
178,82.3,42,0,männlich
178,89.0,41,0,männlich
188,90.7,45,0,männlich
182,107.4,45,0,männlich
164,62.6,39,1,weiblich
179,91.5,42,0,männlich
177,96.6,44,0,männlich
166,58.5,38,1,weiblich
168,71.6,38,0,männlich
166,87.3,40,0,männlich
176,78.5,43,0,männlich
166,63.2,40,1,weiblich
189,104.0,46,0,männlich
155,56.8,37,1,weiblich
182,88.3,45,0,männlich
186,102.3,44,0,männlich
182,92.9,42,0,männlich
189,105.5,45,0,männlich
189,88.8,44,0,männlich
180,83.9,42,0,männlich
167,65.7,40,0,männlich
167,56.2,38,1,weiblich
177,77.5,42,0,männlich
181,102.4,44,0,männlich
170,70.2,36,1,weiblich
169,61.2,40,0,männlich
173,73.9,38,1,weiblich
178,90.8,44,0,männlich
166,64.9,38,1,weiblich
178,71.7,42,1,weiblich
183,76.1,42,0,männlich
180,93.7,43,0,männlich
162,63.6,38,1,weiblich
182,84.8,43,0,männlich
184,91.7,43,0,männlich
166,84.9,41,0,männlich
164,73.5,40,1,weiblich
174,88.9,43,0,männlich
188,100.2,45,0,männlich
175,76.5,42,0,männlich
180,92.3,44,0,männlich
152,44.5,35,1,weiblich
168,74.6,40,1,weiblich
161,69.0,37,1,weiblich
161,49.0,36,1,weiblich
182,84.4,42,0,männlich
183,99.6,44,0,männlich
173,77.8,41,0,männlich
180,82.5,41,0,männlich
171,67.4,39,1,weiblich
178,70.6,42,0,männlich
182,90.4,44,0,männlich
183,90.6,42,0,männlich
170,73.5,40,1,weiblich
178,83.7,42,0,männlich
162,64.7,36,1,weiblich
186,106.3,45,0,männlich
163,59.4,38,1,weiblich
172,67.5,39,0,männlich
174,59.2,42,0,männlich
155,59.2,37,1,weiblich
166,64.6,38,1,weiblich
155,66.7,35,1,weiblich
162,75.2,38,1,weiblich
176,84.6,44,0,männlich
161,74.2,38,1,weiblich
